Weight	Action	Difference	Q Value	Reward
60.0	-1	0.0024750000000040018	-124.995025	-1.0
61.0	-1	0.0024999999999977263	-124.9975	-1.0
61.0	-1	0.0024750000000040018	-124.995025	-1.0
62.0	-1	0.0024999999999977263	-124.9975	-1.0
62.0	-1	0.0024750000000040018	-124.995025	-1.0
63.0	-1	0.0024999999999977263	-124.9975	-1.0
64.0	-1	0.0024999999999977263	-124.9975	-1.0
64.0	-1	0.0024750000000040018	-124.995025	-1.0
65.0	-1	0.0024999999999977263	-124.9975	-1.0
65.0	-1	0.0024750000000040018	-124.995025	-1.0
66.0	-1	0.0024999999999977263	-124.9975	-1.0
66.0	-1	0.0024750000000040018	-124.995025	-1.0
67.0	-1	0.0024999999999977263	-124.9975	-1.0
68.0	-1	0.0024999999999977263	-124.9975	-1.0
68.0	-1	0.0024750000000040018	-124.995025	-1.0
69.0	-1	0.0024999999999977263	-124.9975	-1.0
69.0	-1	0.0024750000000040018	-124.995025	-1.0
70.0	-1	0.0024999999999977263	-124.9975	-1.0
70.0	-1	0.0024997499999983575	-124.99500025	-1.0
70.0	-1	0.0024500024999980496	-124.9925502475	-1.0
71.0	-1	0.0024999999999977263	-124.9975	-1.0
71.0	-1	0.0024997499999983575	-124.99500025	-1.0
71.0	-1	0.002499500024995882	-124.99250074997501	-1.0
71.0	-1	0.002499250075004511	-124.9900014999	-1.0
71.0	-1	0.0024990001499958225	-124.98750249975001	-1.0
71.0	-1	0.0024987502499698167	-124.98500374950004	-1.0
71.0	-1	0.002498500374954915	-124.98250524912508	-1.0
71.0	-1	0.002498250524908485	-124.98000699860017	-1.0
71.0	-1	0.002498000699858949	-124.97750899790032	-1.0
71.0	-1	0.002497750899792095	-124.97501124700052	-1.0
71.0	-1	0.002497501124693713	-124.97251374587583	-1.0
71.0	-1	0.0024972513745922242	-124.97001649450124	-1.0
71.0	-1	0.0024970016494449965	-124.96751949285179	-1.0
71.0	-1	0.0024967519492804513	-124.96502274090251	-1.0
71.0	-1	0.002496502274084378	-124.96252623862843	-1.0
71.0	-1	0.002496252623856776	-124.96002998600457	-1.0
71.0	-1	0.002496002998597646	-124.95753398300597	-1.0
71.0	-1	0.002495753398306988	-124.95503822960767	-1.0
71.0	-1	0.0024955038229563797	-124.95254272578471	-1.0
71.0	-1	0.0024952542725742433	-124.95004747151214	-1.0
71.0	-1	0.0024950047471463677	-124.94755246676499	-1.0
71.0	-1	0.002494755246672753	-124.94505771151832	-1.0
71.0	-1	0.002494505771153399	-124.94256320574716	-1.0
71.0	-1	0.0024942563205740953	-124.94006894942659	-1.0
71.0	-1	0.0024940068949490524	-124.93757494253164	-1.0
71.0	-1	0.0024937574942498486	-124.93508118503739	-1.0
71.0	-1	0.0024935081185049057	-124.93258767691889	-1.0
71.0	-1	0.002493258767685802	-124.9300944181512	-1.0
71.0	-1	0.002493009441820959	-124.92760140870938	-1.0
71.0	-1	0.0024927601408677447	-124.92510864856851	-1.0
71.0	-1	0.00249251086485458	-124.92261613770366	-1.0
71.0	-1	0.002492261613767255	-124.92012387608989	-1.0
71.0	-1	0.0024920123876057687	-124.91763186370228	-1.0
71.0	-1	0.0024917631863701217	-124.91514010051591	-1.0
71.0	-1	0.002491514010046103	-124.91264858650587	-1.0
71.0	-1	0.0024912648586479236	-124.91015732164722	-1.0
71.0	-1	0.0024910157321613724	-124.90766630591506	-1.0
71.0	-1	0.0024907666305864495	-124.90517553928447	-1.0
71.0	-1	0.001551755392839027	-124.90362378389163	-1.0
72.0	-1	0.0024999999999977263	-124.9975	-1.0
72.0	-1	0.0024997499999983575	-124.99500025	-1.0
72.0	-1	0.002499500024995882	-124.99250074997501	-1.0
72.0	-1	0.002499250075004511	-124.9900014999	-1.0
72.0	-1	0.0024990001499958225	-124.98750249975001	-1.0
72.0	-1	0.0024987502499698167	-124.98500374950004	-1.0
72.0	-1	0.002498500374954915	-124.98250524912508	-1.0
72.0	-1	1.2398250524912555	-123.74268019663383	-1.0
